"code","country","siteid","site_name","compiler","species","common_name","years_monitored","latitude","longitude","nesting_status"
"US","United States (contiguous)","US06","Collier",NA,"Caretta caretta","Loggerhead Sea Turtle",2014,26.0353267317,-81.7743680556,"QUANTIFIED"
"US","United States (contiguous)","US06","Collier",NA,"Chelonia mydas","Green Sea Turtle",2014,26.0353267317,-81.7743680556,"NO-NESTING"
"US","United States (contiguous)","US06","Collier",NA,"Dermochelys coriacea","Leatherback Sea Turtle",2014,26.0353267317,-81.7743680556,"NO-NESTING"
"US","United States (contiguous)","US06","Collier",NA,"Eretmochelys imbricata","Hawksbill Sea Turtle",2014,26.0353267317,-81.7743680556,"NO-NESTING"
"US","United States (contiguous)","US06","Collier",NA,"Lepidochelys kempii","Kemp's Ridley",2014,26.0353267317,-81.7743680556,"NO-NESTING"
"US","United States (contiguous)","US79","Corpus Christi Bay","WIDECAST","Lepidochelys kempii","Kemp's Ridley",2009,27.8193,-97.3885,"QUANTIFIED"
"US","United States (contiguous)","US34","Cumberland Island",NA,"Caretta caretta","Loggerhead Sea Turtle",2005,30.84,-81.42,"QUANTIFIED"
"US","United States (contiguous)","US34","Cumberland Island",NA,"Dermochelys coriacea","Leatherback Sea Turtle",2001,30.84,-81.42,"QUANTIFIED"
"US","United States (contiguous)","US112","Daufuskie Island","WIDECAST","Caretta caretta","Loggerhead Sea Turtle",2013,32.104344,-80.853154,"QUANTIFIED"
"US","United States (contiguous)","WCUSAL1","Dauphin Island","WIDECAST","Caretta caretta","Loggerhead Sea Turtle",2006,30.24407,-88.088005,"QUANTIFIED"
"US","United States (contiguous)","US113","Debidue","WIDECAST","Caretta caretta","Loggerhead Sea Turtle",2013,33.378653,-79.147802,"QUANTIFIED"
"US","United States (contiguous)","US114","Deveaux Bank","WIDECAST","Caretta caretta","Loggerhead Sea Turtle",2013,32.54945,-80.176744,"QUANTIFIED"
"US","United States (contiguous)","US115","Dewees Island","WIDECAST","Caretta caretta","Loggerhead Sea Turtle",2013,32.834786,-79.707593,"QUANTIFIED"
"US","United States (contiguous)","US07","Duval",NA,"Caretta caretta","Loggerhead Sea Turtle",2014,30.3580804821,-81.3979962638,"QUANTIFIED"
"US","United States (contiguous)","US07","Duval",NA,"Chelonia mydas","Green Sea Turtle",2014,30.3580804821,-81.3979962638,"QUANTIFIED"
"US","United States (contiguous)","US07","Duval",NA,"Dermochelys coriacea","Leatherback Sea Turtle",2014,30.3580804821,-81.3979962638,"QUANTIFIED"
"US","United States (contiguous)","US07","Duval",NA,"Eretmochelys imbricata","Hawksbill Sea Turtle",2014,30.3580804821,-81.3979962638,"NO-NESTING"
"US","United States (contiguous)","US07","Duval",NA,"Lepidochelys kempii","Kemp's Ridley",2014,30.3580804821,-81.3979962638,"NO-NESTING"
"US","United States (contiguous)","US116","Edingsville","WIDECAST","Caretta caretta","Loggerhead Sea Turtle",2013,32.524944,-80.264327,"QUANTIFIED"
"US","United States (contiguous)","US117","Edisto Beach State Park","WIDECAST","Caretta caretta","Loggerhead Sea Turtle",2013,32.485205,-80.322135,"QUANTIFIED"
"US","United States (contiguous)","US118","Edisto Town","WIDECAST","Caretta caretta","Loggerhead Sea Turtle",2013,32.511144,-80.286503,"QUANTIFIED"
"US","United States (contiguous)","US08","Escambia",NA,"Caretta caretta","Loggerhead Sea Turtle",2014,30.3198436665,-87.2192152667,"QUANTIFIED"
"US","United States (contiguous)","US08","Escambia",NA,"Chelonia mydas","Green Sea Turtle",2014,30.3198436665,-87.2192152667,"QUANTIFIED"
"US","United States (contiguous)","US08","Escambia",NA,"Dermochelys coriacea","Leatherback Sea Turtle",2014,30.3198436665,-87.2192152667,"NO-NESTING"
"US","United States (contiguous)","US08","Escambia",NA,"Eretmochelys imbricata","Hawksbill Sea Turtle",2014,30.3198436665,-87.2192152667,"NO-NESTING"
"US","United States (contiguous)","US08","Escambia",NA,"Lepidochelys kempii","Kemp's Ridley",2014,30.3198436665,-87.2192152667,"QUANTIFIED"
